"ativo";"Pesos";"Retorno";"Volatilidade"
"ABCB4.SA";1,54;0,04;2,11
"AGRO3.SA";1,91;0,02;1,73
"BEES3.SA";2,06;0,04;2,45
"CLSC3.SA";19,28;0,03;0,93
"COCE5.SA";6,04;0,04;1,68
"CRPG5.SA";1,31;0,06;4,21
"CSRN3.SA";9,34;0,05;2,11
"DOHL4.SA";6,53;0,05;2,41
"EEEL3.SA";0,57;0,03;3,82
"EMAE4.SA";2,68;0,04;3,01
"FESA4.SA";2,93;0,05;2,37
"FRAS3.SA";0,55;0,02;5,21
"GEPA4.SA";5,58;0,03;1,84
"LEVE3.SA";3,33;0,04;1,84
"PATI4.SA";13,85;0,05;1,75
"PNVL3.SA";10,53;0,06;2,22
"PTBL3.SA";2,41;0,04;2,44
"RANI3.SA";2,83;0,04;2,7
"TUPY3.SA";6,72;0,04;1,87
