"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"08.773.135/0001-00";25224;"2W ENERGIA S.A."
"11.396.633/0001-87";21954;"3A COMPANHIA SECURITIZADORA"
"12.091.809/0001-55";25291;"3R PETROLEUM OLÉO E GÁS S.A."
"01.547.749/0001-16";16330;"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
"01.851.771/0001-55";16284;"524 PARTICIPAÇOES SA"
"01.919.008/0001-19";16349;"525 PARTICIPAÇOES SA"
"92.659.614/0001-06";35;"A J RENNER SA IND E PARTIP"
"02.288.752/0001-25";16802;"A.P. PARTICIPAÇOES SA"
"21.649.280/0001-33";13307;"ABC DADOS E INFORMATICA SA"
"02.258.274/0001-00";16934;"ABC SUPERMERCADOS SA"
"42.275.727/0001-21";13005;"ABC XTAL MICROELETRONICA SA"
"34.033.779/0001-63";15270;"ABN AMRO ARRENDAMENTO MERCANTIL SA"
"44.597.052/0001-62";14370;"ABRIL SA"
"07.794.351/0001-60";20206;"ABYARA PLANEJAMENTO IMOBILIÁRIO S/A"
"07.636.657/0001-99";26425;"ACO VERDE DO BRASIL S.A"
"18.451.005/0001-04";60;"ACOPALMA CIA INDL ACOS V PALMA"
"61.150.660/0001-43";78;"ACOS ANHANGUERA SA"
"60.890.688/0001-54";86;"ACOS DO BRASIL SA IND E COM"
"92.767.409/0001-56";14508;"AÇOS FINOS PIRATINI S/A"
"60.852.316/0001-33";10715;"ACOS IPANEMA (VILLARES) SA"
"60.664.810/0001-74";108;"AÇOS VILLARES SA"
"13.546.353/0001-33";116;"ACRINOR ACRILONITRILA DO NE SA"
"07.825.881/0001-29";20230;"ACRUX SECURITIZADORA S/A"
"02.808.627/0001-07";18040;"ACTORI PARTICIPAÇÕES SA"
"47.080.619/0001-17";20940;"AÇUCAR GUARANI S/A"
"43.631.183/0001-56";7625;"ADEPAR ASSESSORIA ADM SERV SA"
"11.029.808/0001-18";132;"ADESENE ADESIVOS NO NORDESTE SA"
"17.157.215/0001-13";159;"ADUBOS VIANNA SA INDUSTRIA E COMERCIO"
"10.345.009/0001-98";21725;"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A."
"08.827.501/0001-58";23396;"AEGEA SANEAMENTO E PARTICIPAÇÕES S.A."
"12.528.708/0001-07";25283;"AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A."
"12.528.708/0001-07";25283;"AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A."
"33.037.169/0001-75";167;"AEROFOTO CRUZEIRO SA"
"37.663.076/0001-07";25640;"AES Brasil Energia S/A"
"00.194.724/0001-13";26174;"AES BRASIL OPERAÇÕES S.A."
"01.917.705/0001-30";19313;"AES ELPA SA"
"04.128.563/0001-10";18970;"AES TIETÊ ENERGIA S.A"
"04.128.563/0001-10";18970;"AES TIETÊ ENERGIA S.A"
