"N.";"Logo";"Empresa";"Ações";"Classificação";"Listagem";"Tag Along";"Setor";"Subsetor";"Segmento";"acoes_sa"
1;NA;"ALLIAR";"AALR3";"Small Cap";"Novo Mercado";"100% para ações ON";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"Serv.Méd.Hospit..Análises e Diagnósticos";"AALR3.SA"
2;NA;"ABC BRASIL";"ABCB4";"Small Cap";"Nível 2 de Governança Corporativa";"100% para ações ON e PN";"Financeiro";"Intermediários Financeiros";"Bancos";"ABCB4.SA"
3;NA;"AMBEV S/A";"ABEV3";"Mega Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo não Cíclico";"Bebidas";"Cervejas e Refrigerantes";"ABEV3.SA"
4;NA;"AERIS";"AERI3";"Small Cap";"Novo Mercado";"100% para ações ON";"Bens Industriais";"Máquinas e Equipamentos";"Máq. e Equip. Industriais";"AERI3.SA"
5;NA;"AES BRASIL";"AESB3";"Mid Cap";"Novo Mercado";"100% para ações ON";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";"AESB3.SA"
6;NA;"AESOPERACOES";"AESO3";"-";"Balcão Org. Tradicional";"80% para ações ON";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";"AESO3.SA"
7;NA;"AFLUENTE T";"AFLT3";"Micro Cap";"Balcão Org. Tradicional";"80% para ações ON";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";"AFLT3.SA"
8;NA;"BRASILAGRO";"AGRO3";"Small Cap";"Novo Mercado";"100% para ações ON";"Consumo não Cíclico";"Agropecuária";"Agricultura";"AGRO3.SA"
9;NA;"AGROGALAXY";"AGXY3";"Small Cap";"Novo Mercado";"100% para ações ON";"Consumo não Cíclico";"Agropecuária";"Agricultura";"AGXY3.SA"
10;NA;"SPTURIS";"AHEB3";"Micro Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo Cíclico";"Viagens e Lazer";"Produção de Eventos e Shows";"AHEB3.SA"
10;NA;"SPTURIS";"";"Micro Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo Cíclico";"Viagens e Lazer";"Produção de Eventos e Shows";".SA"
10;NA;"SPTURIS";"AHEB5";"Micro Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo Cíclico";"Viagens e Lazer";"Produção de Eventos e Shows";"AHEB5.SA"
10;NA;"SPTURIS";"";"Micro Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo Cíclico";"Viagens e Lazer";"Produção de Eventos e Shows";".SA"
10;NA;"SPTURIS";"AHEB6";"Micro Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo Cíclico";"Viagens e Lazer";"Produção de Eventos e Shows";"AHEB6.SA"
11;NA;"ALLIED";"ALLD3";"Small Cap";"Novo Mercado";"100% para ações ON";"Consumo Cíclico";"Comércio";"Eletrodomésticos";"ALLD3.SA"
12;NA;"ALPARGATAS";"ALPA3";"Mid Cap";"Nível 1 de Governança Corporativa";"80% para ações ON";"Consumo Cíclico";"Tecidos. Vestuário e Calçados";"Calçados";"ALPA3.SA"
12;NA;"ALPARGATAS";"";"Mid Cap";"Nível 1 de Governança Corporativa";"80% para ações ON";"Consumo Cíclico";"Tecidos. Vestuário e Calçados";"Calçados";".SA"
12;NA;"ALPARGATAS";"ALPA4";"Mid Cap";"Nível 1 de Governança Corporativa";"80% para ações ON";"Consumo Cíclico";"Tecidos. Vestuário e Calçados";"Calçados";"ALPA4.SA"
13;NA;"ESTAPAR";"ALPK3";"Micro Cap";"Novo Mercado";"100% para ações ON";"Bens Industriais";"Serviços";"Serviços Diversos";"ALPK3.SA"
14;NA;"ALIANSCE";"ALSC3";"Mid Cap";"Novo Mercado";"100% para ações ON";"Financeiro e Outros";"Exploração de Imóveis";"Exploração de Imóveis";"ALSC3.SA"
15;NA;"ALIANSCSONAE";"ALSO3";"Mid Cap";"Novo Mercado";"100% para ações ON";"Financeiro";"Exploração de Imóveis";"Exploração de Imóveis";"ALSO3.SA"
16;NA;"ALUPAR";"ALUP11";"Mid Cap";"Nível 2 de Governança Corporativa";"100% para ações ON e PN";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";"ALUP11.SA"
16;NA;"ALUPAR";"";"Mid Cap";"Nível 2 de Governança Corporativa";"100% para ações ON e PN";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";".SA"
16;NA;"ALUPAR";"ALUP3";"Mid Cap";"Nível 2 de Governança Corporativa";"100% para ações ON e PN";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";"ALUP3.SA"
16;NA;"ALUPAR";"";"Mid Cap";"Nível 2 de Governança Corporativa";"100% para ações ON e PN";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";".SA"
16;NA;"ALUPAR";"ALUP4";"Mid Cap";"Nível 2 de Governança Corporativa";"100% para ações ON e PN";"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";"ALUP4.SA"
17;NA;"LOJAS MARISA";"AMAR11";"Micro Cap";"Novo Mercado";"100% para ações ON";"Consumo Cíclico";"Comércio";"Tecidos. Vestuário e Calçados";"AMAR11.SA"
17;NA;"LOJAS MARISA";"";"Micro Cap";"Novo Mercado";"100% para ações ON";"Consumo Cíclico";"Comércio";"Tecidos. Vestuário e Calçados";".SA"
17;NA;"LOJAS MARISA";"AMAR3";"Micro Cap";"Novo Mercado";"100% para ações ON";"Consumo Cíclico";"Comércio";"Tecidos. Vestuário e Calçados";"AMAR3.SA"
18;NA;"AMBIPAR";"AMBP3";"Small Cap";"Novo Mercado";"100% para ações ON";"Utilidade Pública";"Água e Saneamento";"Água e Saneamento";"AMBP3.SA"
19;NA;"AMERICANAS";"AMER3";"Mid Cap";"Novo Mercado";"100% para ações ON";"Consumo Cíclico";"Comércio";"Produtos Diversos";"AMER3.SA"
20;NA;"ANIMA";"ANIM3";"Small Cap";"Novo Mercado";"100% para ações ON";"Consumo Cíclico";"Diversos";"Serviços Educacionais";"ANIM3.SA"
21;NA;"ALPER S.A.";"APER3";"Micro Cap";"Novo Mercado";"100% para ações ON";"Financeiro";"Previdência e Seguros";"Corretoras de Seguros e Resseguros";"APER3.SA"
22;NA;"ALIPERTI";"APTI3";"Nano Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo não Cíclico";"Agropecuária";"Agricultura";"APTI3.SA"
22;NA;"ALIPERTI";"";"Nano Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo não Cíclico";"Agropecuária";"Agricultura";".SA"
22;NA;"ALIPERTI";"APTI4";"Nano Cap";"Balcão Org. Tradicional";"80% para ações ON";"Consumo não Cíclico";"Agropecuária";"Agricultura";"APTI4.SA"
