"yearmon";"variable";"value"
fev 2017;"cnefin_wml";1,08472436200321
mar 2017;"cnefin_wml";1,04764392497691
abr 2017;"cnefin_wml";1,04728148061229
mai 2017;"cnefin_wml";1,03183058758325
jun 2017;"cnefin_wml";1,05422239140273
jul 2017;"cnefin_wml";1,10640681190651
ago 2017;"cnefin_wml";1,13803908116973
set 2017;"cnefin_wml";1,11024200548735
out 2017;"cnefin_wml";1,14541166813017
nov 2017;"cnefin_wml";1,16294999164143
dez 2017;"cnefin_wml";1,18454981708128
jan 2018;"cnefin_wml";1,20463667232992
fev 2018;"cnefin_wml";1,21956515348836
mar 2018;"cnefin_wml";1,2640197567234
abr 2018;"cnefin_wml";1,26900316590436
mai 2018;"cnefin_wml";1,27424193381096
jun 2018;"cnefin_wml";1,29206417841591
jul 2018;"cnefin_wml";1,35898834707665
ago 2018;"cnefin_wml";1,40761709128387
set 2018;"cnefin_wml";1,47238801258097
out 2018;"cnefin_wml";1,28268222893445
nov 2018;"cnefin_wml";1,28500937327655
dez 2018;"cnefin_wml";1,27150393268722
jan 2019;"cnefin_wml";1,22792603367995
fev 2019;"cnefin_wml";1,24775991925757
mar 2019;"cnefin_wml";1,27649343200598
abr 2019;"cnefin_wml";1,30486048649815
mai 2019;"cnefin_wml";1,39860106665116
jun 2019;"cnefin_wml";1,3890021256209
jul 2019;"cnefin_wml";1,46675931263674
ago 2019;"cnefin_wml";1,54292459055785
set 2019;"cnefin_wml";1,48656696741709
out 2019;"cnefin_wml";1,53632646871871
nov 2019;"cnefin_wml";1,5098399513165
dez 2019;"cnefin_wml";1,48427952731573
jan 2020;"cnefin_wml";1,61087520743355
fev 2020;"cnefin_wml";1,62949535176412
mar 2020;"cnefin_wml";1,53542440358278
abr 2020;"cnefin_wml";1,63520399894227
mai 2020;"cnefin_wml";1,65923087258791
jun 2020;"cnefin_wml";1,67459887912996
jul 2020;"cnefin_wml";1,75391050364182
ago 2020;"cnefin_wml";1,79267226800336
set 2020;"cnefin_wml";1,80174510845382
out 2020;"cnefin_wml";1,80870333771285
nov 2020;"cnefin_wml";1,69373335240827
dez 2020;"cnefin_wml";1,72437522169625
jan 2021;"cnefin_wml";1,83825648210676
fev 2021;"cnefin_wml";2,02618659620436
mar 2021;"cnefin_wml";1,92322850859056
abr 2021;"cnefin_wml";2,05959297843838
mai 2021;"cnefin_wml";2,00013534380258
jun 2021;"cnefin_wml";1,99586358617389
jul 2021;"cnefin_wml";2,11588197041345
ago 2021;"cnefin_wml";2,20962474041873
set 2021;"cnefin_wml";2,2504549704145
out 2021;"cnefin_wml";2,19698353368419
