"DT_REFER";"CD_CVM";"DENOM_CIA";"COLUNA_DF";"VL_CONTA"
2010;1023;"BCO BRASIL S.A.";"Patrimônio Líquido";54317162
2010;14206;"BRB BCO DE BRASILIA S.A.";"Patrimônio Líquido";746141
2010;2437;"CENTRAIS ELET BRAS S.A. - ELETROBRAS";"Patrimônio Líquido";70304111
2010;14451;"CIA ENERGETICA DE BRASILIA";"Patrimônio Líquido";490000
2010;14540;"VBC ENERGIA SA";"Patrimônio Líquido";1474455
2010;14621;"NET SERVIÇOS DE COMUNICAÇÃO S.A.";"Patrimônio Líquido";3814666
2010;14796;"FORPART S.A. - EM LIQUIDAÇÃO";"Patrimônio Líquido";14341
2010;15083;"KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";-5680618
2010;22594;"STATKRAFT ENERGIAS RENOVAVEIS S.A.";"Patrimônio Líquido";588594
2010;15091;"LITEL PARTICIPACOES S.A.";"Patrimônio Líquido";18783200
2010;20990;"AMERICANAS S.A.";"Patrimônio Líquido";225945
2010;15253;"ENERGISA S.A.";"Patrimônio Líquido";1188160
2010;15369;"FERROVIA CENTRO-ATLANTICA S.A.";"Patrimônio Líquido";1711301
2010;15652;"COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO";"Patrimônio Líquido";-769950
2010;21733;"CIELO S.A.";"Patrimônio Líquido";1179781
2010;15539;"NEOENERGIA S.A.";"Patrimônio Líquido";10407849
2010;19887;"UNIVERSO ONLINE SA";"Patrimônio Líquido";953692
2010;18988;"VOTORANTIM FINANÇAS SA";"Patrimônio Líquido";6161020
2010;16101;"GAFISA S.A.";"Patrimônio Líquido";3722235
2010;16330;"521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL";"Patrimônio Líquido";1989247
2010;16233;"BELAPART SA";"Patrimônio Líquido";3042
2010;16225;"VALETRON SA";"Patrimônio Líquido";3297
2010;16390;"TAM S.A.";"Patrimônio Líquido";2421913
2010;16292;"BRF S.A.";"Patrimônio Líquido";13628967
2010;19313;"AES ELPA S.A.";"Patrimônio Líquido";2064262
2010;18708;"CIA PARTICIPACOES ALIANCA DA BAHIA";"Patrimônio Líquido";618651
2010;16438;"SUL 116 PARTICIPACOES S.A.";"Patrimônio Líquido";12564
2010;16497;"EMPRESA NAC COM REDITO PART S.A.ENCORPAR";"Patrimônio Líquido";150681
2010;18287;"CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO";"Patrimônio Líquido";72333
2010;18678;"TELEMAR PARTICIPAÇÕES SA";"Patrimônio Líquido";1271518
2010;16659;"PORTO SEGURO S.A.";"Patrimônio Líquido";4441736
2010;16624;"UPTICK PARTICIPACOES S.A.";"Patrimônio Líquido";63477
2010;19143;"EDITORA ABRIL S/A";"Patrimônio Líquido";370130
2010;16632;"DEXXOS PARTICIPAÇÕES S.A.";"Patrimônio Líquido";160485
2010;16675;"CEL PARTICIPAÇÕES S.A. - CELPAR";"Patrimônio Líquido";-6002412
2010;16730;"INEPAR ENERGIA SA";"Patrimônio Líquido";114570
2010;16993;"EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.";"Patrimônio Líquido";812700
2010;16950;"DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO";"Patrimônio Líquido";216355
2010;20800;"TEGMA GESTAO LOGISTICA S.A.";"Patrimônio Líquido";419862
2010;17337;"RET PARTICIPACOES S.A.";"Patrimônio Líquido";5860
2010;17361;"ZAIN PARTICIPACOES S.A.";"Patrimônio Líquido";5212
2010;18414;"PADTEC HOLDING S.A.";"Patrimônio Líquido";136785
2010;17450;"RUMO S.A.";"Patrimônio Líquido";3808632
2010;17442;"LF TEL SA";"Patrimônio Líquido";371791
2010;18660;"CPFL ENERGIA S.A.";"Patrimônio Líquido";6493708
2010;17388;"FUTURETEL S.A.";"Patrimônio Líquido";10803
2010;17329;"ENGIE BRASIL ENERGIA S.A.";"Patrimônio Líquido";5072684
2010;17418;"TELINVEST S.A.";"Patrimônio Líquido";6459
2010;17930;"RUMO MALHA PAULISTA S.A.";"Patrimônio Líquido";107996
2010;17779;"MAORI SA";"Patrimônio Líquido";-32971
2010;22551;"SOMOS EDUCAÇÃO S.A.";"Patrimônio Líquido";548707
2010;17710;"VIVO PARTICIPAÇÕES SA";"Patrimônio Líquido";10140252
2010;17639;"TIM PARTICIPACOES S.A.";"Patrimônio Líquido";10300809
2010;17647;"EMBRATEL PARTICIPAÇÕES SA";"Patrimônio Líquido";10449430
2010;17655;"TELE NORTE LESTE PARTICIPAÇÕES SA";"Patrimônio Líquido";11179136
2010;17604;"TELE NORTE CELULAR PARTICIPAÇÕES SA";"Patrimônio Líquido";10419543
2010;17671;"TELEFÔNICA BRASIL S.A";"Patrimônio Líquido";11667114
2010;17493;"CAPITALPART PARTICIPAÇÕES SA";"Patrimônio Líquido";-82340
2010;17558;"INNCORP S.A.";"Patrimônio Líquido";-133394
2010;17540;"NEWTEL PARTICIPACOES S.A.";"Patrimônio Líquido";25962
