"date";"tipo";"media_ret"
2018-09-10;"Portfólio - Markowitz";0
2018-09-11;"Portfólio - Markowitz";-0,015435756342933
2018-09-12;"Portfólio - Markowitz";-0,018017008506778
2018-09-13;"Portfólio - Markowitz";-0,025802746249903
2018-09-14;"Portfólio - Markowitz";-0,0242684860447705
2018-09-17;"Portfólio - Markowitz";-0,0213034063534998
2018-09-18;"Portfólio - Markowitz";-0,0287046063702757
2018-09-19;"Portfólio - Markowitz";-0,0358166718931987
2018-09-20;"Portfólio - Markowitz";-0,0419934384860535
2018-09-21;"Portfólio - Markowitz";-0,042143645059399
2018-09-24;"Portfólio - Markowitz";-0,0516706908495553
2018-09-25;"Portfólio - Markowitz";-0,047318577636161
2018-09-26;"Portfólio - Markowitz";-0,0500248788980301
2018-09-27;"Portfólio - Markowitz";-0,0467390707933131
2018-09-28;"Portfólio - Markowitz";-0,045199405607425
2018-10-01;"Portfólio - Markowitz";-0,049909546488147
2018-10-02;"Portfólio - Markowitz";-0,0442666204560355
2018-10-03;"Portfólio - Markowitz";-0,0462014212986491
2018-10-04;"Portfólio - Markowitz";-0,0534364594165484
2018-10-05;"Portfólio - Markowitz";-0,0528136669369624
2018-10-08;"Portfólio - Markowitz";-0,0367178846156306
2018-10-09;"Portfólio - Markowitz";-0,0460444769006829
2018-10-10;"Portfólio - Markowitz";-0,0518780080262721
2018-10-11;"Portfólio - Markowitz";-0,0652108305450962
2018-10-15;"Portfólio - Markowitz";-0,066299170985373
2018-10-16;"Portfólio - Markowitz";-0,054116075739211
2018-10-17;"Portfólio - Markowitz";-0,0526126442000668
2018-10-18;"Portfólio - Markowitz";-0,0446685299202825
2018-10-19;"Portfólio - Markowitz";-0,0356166557378703
2018-10-22;"Portfólio - Markowitz";-0,042338563090929
2018-10-23;"Portfólio - Markowitz";-0,040234357588542
2018-10-24;"Portfólio - Markowitz";-0,0405222906035939
2018-10-25;"Portfólio - Markowitz";-0,0354432699978624
2018-10-26;"Portfólio - Markowitz";-0,0333135693374895
2018-10-29;"Portfólio - Markowitz";-0,0535557462677482
2018-10-30;"Portfólio - Markowitz";-0,0575410052933931
2018-10-31;"Portfólio - Markowitz";-0,0383257305954411
2018-11-01;"Portfólio - Markowitz";-0,0425286663574848
2018-11-05;"Portfólio - Markowitz";-0,0266977505374404
2018-11-06;"Portfólio - Markowitz";-0,0343060222385477
2018-11-07;"Portfólio - Markowitz";-0,0436921050875674
2018-11-08;"Portfólio - Markowitz";-0,0549342507597687
2018-11-09;"Portfólio - Markowitz";-0,0595204107575326
2018-11-12;"Portfólio - Markowitz";-0,0540193463301072
2018-11-13;"Portfólio - Markowitz";-0,044098047176534
2018-11-14;"Portfólio - Markowitz";-0,0317044074621732
2018-11-16;"Portfólio - Markowitz";-0,0242269193342937
2018-11-19;"Portfólio - Markowitz";-0,0408272287957581
2018-11-21;"Portfólio - Markowitz";-0,0475462588130627
2018-11-22;"Portfólio - Markowitz";-0,0393819298820434
2018-11-23;"Portfólio - Markowitz";-0,0483857394975375
2018-11-26;"Portfólio - Markowitz";-0,0516728326981919
2018-11-27;"Portfólio - Markowitz";-0,0427558464315747
2018-11-28;"Portfólio - Markowitz";-0,0365013093627391
2018-11-29;"Portfólio - Markowitz";-0,0344109146701016
2018-11-30;"Portfólio - Markowitz";-0,025250899268033
2018-12-03;"Portfólio - Markowitz";-0,02173862919752
2018-12-04;"Portfólio - Markowitz";-0,0373165306355592
2018-12-05;"Portfólio - Markowitz";-0,0352925966808759
2018-12-06;"Portfólio - Markowitz";-0,0384532834178377
2018-12-07;"Portfólio - Markowitz";-0,0459510250312078
2018-12-10;"Portfólio - Markowitz";-0,0553959540609251
2018-12-11;"Portfólio - Markowitz";-0,0546280804123188
